Program "PAW_protein_grouper.py" run on Tue Aug 29 11:02:42 2023


	=SUBTOTAL(109,B6:B5859)																					
924	1	sp|P30282|CCND3_MOUSE	 	 	 	 	13.4	292	32410	G1/S-specific cyclin-D3 OS=Mus musculus OX=10090 GN=Ccnd3 PE=1 SV=1	7	7	1.000	2	4	1	2	4	1	2.000	4.000	1.000
925	1	sp|P30285|CDK4_MOUSE	 	 	sp|P11440|CDK1_MOUSE, sp|P21803|FGFR2_MOUSE, sp|P25911|LYN_MOUSE, sp|P30285|CDK4_MOUSE, sp|P49615|CDK5_MOUSE, sp|P63085|MK01_MOUSE, sp|P97377|CDK2_MOUSE, sp|Q04735|CDK16_MOUSE, sp|Q04736|YES_MOUSE, sp|Q14AX6|CDK12_MOUSE, sp|Q61851|FGFR3_MOUSE, sp|Q64261|CDK6_MOUSE, sp|Q69ZA1|CDK13_MOUSE, sp|Q99J95|CDK9_MOUSE	 	37.0	303	33750	Cyclin-dependent kinase 4 OS=Mus musculus OX=10090 GN=Cdk4 PE=1 SV=1	29	22	0.759	10	11	8	7	10	5	7.744	10.179	5.744
926	1	sp|P30412|PPIC_MOUSE	 	 	 	 	34.9	212	22794	Peptidyl-prolyl cis-trans isomerase C OS=Mus musculus OX=10090 GN=Ppic PE=1 SV=1	13	13	1.000	6	4	3	6	4	3	6.000	4.000	3.000
927	1	sp|P30416|FKBP4_MOUSE	 	 	 	 	84.7	458	51572	Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Mus musculus OX=10090 GN=Fkbp4 PE=1 SV=5	260	260	1.000	84	105	71	84	105	71	84.000	105.000	71.000
928	1	sp|P30658|CBX2_MOUSE	 	 	 	 	6.7	519	54917	Chromobox protein homolog 2 OS=Mus musculus OX=10090 GN=Cbx2 PE=1 SV=2	3	3	1.000	1	2	0	1	2	0	1.000	2.000	0.000
929	1	sp|P30681|HMGB2_MOUSE	 	 	sp|O54879|HMGB3_MOUSE, sp|P30681|HMGB2_MOUSE, sp|P63158|HMGB1_MOUSE	 	63.8	210	24162	High mobility group protein B2 OS=Mus musculus OX=10090 GN=Hmgb2 PE=1 SV=3	73	51	0.699	27	33	13	21	20	10	24.242	28.747	11.579
930	1	sp|P30999|CTND1_MOUSE	 	 	 	 	37.8	938	104924	Catenin delta-1 OS=Mus musculus OX=10090 GN=Ctnnd1 PE=1 SV=2	72	72	1.000	38	13	21	38	13	21	38.000	13.000	21.000
931	1	sp|P31001|DESM_MOUSE	 	 	CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, sp|P03995|GFAP_MOUSE, sp|P08551|NFL_MOUSE, sp|P08553|NFM_MOUSE, sp|P11679|K2C8_MOUSE, sp|P19246|NFH_MOUSE, sp|P20152|VIME_MOUSE, sp|P31001|DESM_MOUSE, sp|P46660|AINX_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q9DCV7|K2C7_MOUSE	 	20.7	469	53497	Desmin OS=Mus musculus OX=10090 GN=Des PE=1 SV=3	64	8	0.125	25	22	17	4	3	1	4.140	3.124	1.105
932	1	sp|P31230|AIMP1_MOUSE	 	 	 	 	74.5	310	33997	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Mus musculus OX=10090 GN=Aimp1 PE=1 SV=2	83	83	1.000	35	20	28	35	20	28	35.000	20.000	28.000
933	1	sp|P31266|SUH_MOUSE	 	 	 	 	13.3	526	58537	Recombining binding protein suppressor of hairless OS=Mus musculus OX=10090 GN=Rbpj PE=1 SV=1	6	6	1.000	5	1	0	5	1	0	5.000	1.000	0.000
934	1	sp|P31324|KAP3_MOUSE	 	 	sp|P12367|KAP2_MOUSE, sp|P31324|KAP3_MOUSE	 	26.0	416	46167	cAMP-dependent protein kinase type II-beta regulatory subunit OS=Mus musculus OX=10090 GN=Prkar2b PE=1 SV=3	15	12	0.800	7	6	2	4	6	2	4.500	6.000	2.000
935	1	sp|P31750|AKT1_MOUSE	 	 	sp|P31750|AKT1_MOUSE, sp|Q60823|AKT2_MOUSE, sp|Q8BSK8|KS6B1_MOUSE, sp|Q9WUA6|AKT3_MOUSE, sp|Q9Z1M4|KS6B2_MOUSE	 	44.6	480	55707	RAC-alpha serine/threonine-protein kinase OS=Mus musculus OX=10090 GN=Akt1 PE=1 SV=2	59	41	0.695	23	17	19	15	14	12	20.439	16.365	17.681
936	1	sp|P31786|ACBP_MOUSE	 	 	 	 	48.3	87	10000	Acyl-CoA-binding protein OS=Mus musculus OX=10090 GN=Dbi PE=1 SV=2	73	73	1.000	33	16	24	33	16	24	33.000	16.000	24.000
937	1	sp|P31938|MP2K1_MOUSE	 	 	sp|P31938|MP2K1_MOUSE, sp|Q63932|MP2K2_MOUSE, sp|Q6PFD9|NUP98_MOUSE	 	38.2	393	43474	Dual specificity mitogen-activated protein kinase kinase 1 OS=Mus musculus OX=10090 GN=Map2k1 PE=1 SV=2	45	19	0.422	17	14	14	7	7	5	10.858	11.455	10.625
938	1	sp|P32020|SCP2_MOUSE	 	 	 	 	18.3	547	59125	Sterol carrier protein 2 OS=Mus musculus OX=10090 GN=Scp2 PE=1 SV=3	44	44	1.000	19	10	15	19	10	15	19.000	10.000	15.000
939	1	sp|P32067|LA_MOUSE	 	 	 	 	48.9	415	47756	Lupus La protein homolog OS=Mus musculus OX=10090 GN=Ssb PE=1 SV=1	93	93	1.000	37	28	28	37	28	28	37.000	28.000	28.000
940	1	sp|P32233|DRG1_MOUSE	 	 	sp|P32233|DRG1_MOUSE, sp|Q9QXB9|DRG2_MOUSE	 	52.0	367	40512	Developmentally-regulated GTP-binding protein 1 OS=Mus musculus OX=10090 GN=Drg1 PE=1 SV=1	63	57	0.905	22	22	19	20	21	16	21.250	21.778	18.182
941	1	sp|P32261|ANT3_MOUSE	 	 	 	 	45.4	465	52003	Antithrombin-III OS=Mus musculus OX=10090 GN=Serpinc1 PE=1 SV=1	52	52	1.000	20	19	13	20	19	13	20.000	19.000	13.000
942	1	sp|P32507|NECT2_MOUSE	 	 	 	 	15.7	530	57317	Nectin-2 OS=Mus musculus OX=10090 GN=Nectin2 PE=1 SV=2	8	8	1.000	6	1	1	6	1	1	6.000	1.000	1.000
943	1	sp|P32883|RASK_MOUSE	 	 	sp|P08556|RASN_MOUSE, sp|P32883|RASK_MOUSE, sp|P62835|RAP1A_MOUSE, sp|Q61411|RASH_MOUSE, sp|Q99JI6|RAP1B_MOUSE	 	57.7	189	21656	GTPase KRas OS=Mus musculus OX=10090 GN=Kras PE=1 SV=1	28	9	0.321	13	12	3	4	3	2	7.326	6.522	2.391
944	1	sp|P32921|SYWC_MOUSE	 	 	 	 	64.9	481	54357	Tryptophan--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Wars1 PE=1 SV=2	83	83	1.000	33	24	26	33	24	26	33.000	24.000	26.000
945	1	sp|P33173|KIF1A_MOUSE	 	 	sp|E9Q5G3|KIF23_MOUSE, sp|O35071|KIF1C_MOUSE, sp|P33173|KIF1A_MOUSE, sp|Q60575|KIF1B_MOUSE, tr|A0A286YCV9|A0A286YCV9_MOUSE	 	55.6	1695	191723	Kinesin-like protein KIF1A OS=Mus musculus OX=10090 GN=Kif1a PE=1 SV=2	182	130	0.714	89	41	52	65	28	37	85.385	40.419	50.121
946	1	sp|P33174|KIF4_MOUSE	 	 	sp|B1AVY7|KI16B_MOUSE, sp|P28741|KIF3A_MOUSE, sp|P33174|KIF4_MOUSE, tr|E9PX57|E9PX57_MOUSE	 	6.7	1231	139518	Chromosome-associated kinesin KIF4 OS=Mus musculus OX=10090 GN=Kif4 PE=1 SV=3	11	8	0.727	5	5	1	4	4	0	4.174	4.235	0.000
948	1	sp|P33215|NEDD1_MOUSE	 	 	 	 	8.0	660	71292	Protein NEDD1 OS=Mus musculus OX=10090 GN=Nedd1 PE=1 SV=2	5	5	1.000	4	0	1	4	0	1	4.000	0.000	1.000
949	1	sp|P33609|DPOLA_MOUSE	 	 	 	 	4.0	1465	167338	DNA polymerase alpha catalytic subunit OS=Mus musculus OX=10090 GN=Pola1 PE=1 SV=2	5	5	1.000	4	0	1	4	0	1	4.000	0.000	1.000
950	1	sp|P33610|PRI2_MOUSE	 	 	 	 	9.7	505	58408	DNA primase large subunit OS=Mus musculus OX=10090 GN=Prim2 PE=1 SV=1	5	5	1.000	3	2	0	3	2	0	3.000	2.000	0.000
951	1	sp|P33611|DPOA2_MOUSE	 	 	 	 	13.5	600	66213	DNA polymerase alpha subunit B OS=Mus musculus OX=10090 GN=Pola2 PE=1 SV=2	5	5	1.000	4	0	1	4	0	1	4.000	0.000	1.000
952	1	sp|P34022|RANG_MOUSE	 	 	sp|P34022|RANG_MOUSE, sp|Q8JZX4|SPF45_MOUSE	 	74.9	203	23596	Ran-specific GTPase-activating protein OS=Mus musculus OX=10090 GN=Ranbp1 PE=1 SV=2	56	53	0.946	27	17	12	25	17	11	26.351	17.000	11.647
953	1	sp|P34057|RECO_MOUSE	 	 	 	 	9.4	202	23406	Recoverin OS=Mus musculus OX=10090 GN=Rcvrn PE=1 SV=2	2	2	1.000	0	2	0	0	2	0	0.000	2.000	0.000
954	1	sp|P34152|FAK1_MOUSE	 	 	sp|P34152|FAK1_MOUSE, sp|P70694|DHB5_MOUSE	 	19.1	1052	119242	Focal adhesion kinase 1 OS=Mus musculus OX=10090 GN=Ptk2 PE=1 SV=4	23	22	0.957	14	6	3	13	6	3	13.929	6.000	3.000
955	1	sp|P34884|MIF_MOUSE	 	 	 	 	96.5	115	12504	Macrophage migration inhibitory factor OS=Mus musculus OX=10090 GN=Mif PE=1 SV=2	135	135	1.000	83	25	27	83	25	27	83.000	25.000	27.000
956	1	sp|P34914|HYES_MOUSE	 	 	 	 	51.8	554	62515	Bifunctional epoxide hydrolase 2 OS=Mus musculus OX=10090 GN=Ephx2 PE=1 SV=2	51	51	1.000	27	12	12	27	12	12	27.000	12.000	12.000
957	1	sp|P35123|UBP4_MOUSE	 	 	sp|P35123|UBP4_MOUSE, sp|Q8R5H1|UBP15_MOUSE, sp|Q99K46|UBP11_MOUSE	 	50.6	962	108342	Ubiquitin carboxyl-terminal hydrolase 4 OS=Mus musculus OX=10090 GN=Usp4 PE=1 SV=3	76	72	0.947	34	20	22	32	19	21	33.123	19.594	21.750
958	1	sp|P35173|CYT3_MOUSE	 	 	sp|P35173|CYT3_MOUSE, sp|P35175|CYT1_MOUSE, tr|Q497J0|Q497J0_MOUSE	 	45.6	103	11640	Stefin-3 OS=Mus musculus OX=10090 GN=Stfa3 PE=3 SV=1	7	5	0.714	6	1	0	4	1	0	4.889	1.000	0.000
959	1	sp|P35175|CYT1_MOUSE	 	 	sp|P35173|CYT3_MOUSE, sp|P35175|CYT1_MOUSE, tr|Q497J0|Q497J0_MOUSE	 	70.1	97	11006	Stefin-1 OS=Mus musculus OX=10090 GN=Stfa1 PE=3 SV=1	17	3	0.176	6	6	5	2	1	0	3.244	1.833	0.000
960	1	sp|P35235|PTN11_MOUSE	 	 	 	 	57.7	593	68034	Tyrosine-protein phosphatase non-receptor type 11 OS=Mus musculus OX=10090 GN=Ptpn11 PE=1 SV=3	83	83	1.000	29	29	25	29	29	25	29.000	29.000	25.000
961	1	sp|P35278|RAB5C_MOUSE	 	 	sp|P35278|RAB5C_MOUSE, sp|P61021|RAB5B_MOUSE, sp|Q9CQD1|RAB5A_MOUSE	 	59.3	216	23412	Ras-related protein Rab-5C OS=Mus musculus OX=10090 GN=Rab5c PE=1 SV=2	33	24	0.727	14	7	12	9	5	10	10.125	5.556	10.833
963	1	sp|P35282|RAB21_MOUSE	 	 	sp|P35282|RAB21_MOUSE, sp|P35293|RAB18_MOUSE	 	40.5	222	24106	Ras-related protein Rab-21 OS=Mus musculus OX=10090 GN=Rab21 PE=1 SV=4	19	17	0.895	7	5	7	6	5	6	6.261	5.000	6.316
964	1	sp|P35283|RAB12_MOUSE	 	 	sp|P35279|RAB6A_MOUSE, sp|P35283|RAB12_MOUSE, sp|P55258|RAB8A_MOUSE, sp|P61027|RAB10_MOUSE, sp|P61028|RAB8B_MOUSE, sp|P61294|RAB6B_MOUSE, sp|P62821|RAB1A_MOUSE, sp|P63011|RAB3A_MOUSE, sp|Q6PHN9|RAB35_MOUSE, sp|Q8BHC1|RB39B_MOUSE, sp|Q91V41|RAB14_MOUSE, sp|Q91ZR1|RAB4B_MOUSE, sp|Q9CZT8|RAB3B_MOUSE, sp|Q9D1G1|RAB1B_MOUSE	 	32.9	243	27328	Ras-related protein Rab-12 OS=Mus musculus OX=10090 GN=Rab12 PE=1 SV=3	22	11	0.500	10	7	5	4	4	3	4.235	4.117	3.078
965	1	sp|P35285|RB22A_MOUSE	 	 	 	 	24.2	194	21802	Ras-related protein Rab-22A OS=Mus musculus OX=10090 GN=Rab22a PE=1 SV=2	5	5	1.000	2	1	2	2	1	2	2.000	1.000	2.000
966	1	sp|P35288|RAB23_MOUSE	 	 	 	 	8.4	237	26678	Ras-related protein Rab-23 OS=Mus musculus OX=10090 GN=Rab23 PE=1 SV=2	4	4	1.000	2	1	1	2	1	1	2.000	1.000	1.000
967	1	sp|P35293|RAB18_MOUSE	 	 	sp|P35282|RAB21_MOUSE, sp|P35293|RAB18_MOUSE	 	72.3	206	23035	Ras-related protein Rab-18 OS=Mus musculus OX=10090 GN=Rab18 PE=1 SV=2	42	40	0.952	18	10	14	17	10	13	17.739	10.000	13.684
968	1	sp|P35441|TSP1_MOUSE	 	 	 	 	10.3	1170	129646	Thrombospondin-1 OS=Mus musculus OX=10090 GN=Thbs1 PE=1 SV=1	14	14	1.000	7	6	1	7	6	1	7.000	6.000	1.000
969	1	sp|P35486|ODPA_MOUSE	 	 	REV_F6XLV1, sp|P35486|ODPA_MOUSE, sp|Q505D7|OPA3_MOUSE	 	50.0	390	43231	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Mus musculus OX=10090 GN=Pdha1 PE=1 SV=1	42	41	0.976	14	13	15	14	12	15	14.000	13.000	15.000
970	1	sp|P35505|FAAA_MOUSE	 	 	 	 	12.9	419	46175	Fumarylacetoacetase OS=Mus musculus OX=10090 GN=Fah PE=1 SV=2	9	9	1.000	4	2	3	4	2	3	4.000	2.000	3.000
971	1	sp|P35550|FBRL_MOUSE	 	 	 	 	48.6	327	34306	rRNA 2'-O-methyltransferase fibrillarin OS=Mus musculus OX=10090 GN=Fbl PE=1 SV=2	35	35	1.000	16	12	7	16	12	7	16.000	12.000	7.000
972	1	sp|P35564|CALX_MOUSE	 	 	 	 	67.2	591	67277	Calnexin OS=Mus musculus OX=10090 GN=Canx PE=1 SV=1	245	245	1.000	94	72	79	94	72	79	94.000	72.000	79.000
973	1	sp|P35569|IRS1_MOUSE	 	 	 	 	13.6	1233	130722	Insulin receptor substrate 1 OS=Mus musculus OX=10090 GN=Irs1 PE=1 SV=1	25	25	1.000	11	9	5	11	9	5	11.000	9.000	5.000
974	1	sp|P35585|AP1M1_MOUSE	 	 	 	 	44.7	423	48542	AP-1 complex subunit mu-1 OS=Mus musculus OX=10090 GN=Ap1m1 PE=1 SV=3	37	37	1.000	20	9	8	20	9	8	20.000	9.000	8.000
975	1	sp|P35601|RFC1_MOUSE	 	 	 	 	6.7	1131	125984	Replication factor C subunit 1 OS=Mus musculus OX=10090 GN=Rfc1 PE=1 SV=2	7	7	1.000	2	2	3	2	2	3	2.000	2.000	3.000
976	1	sp|P35700|PRDX1_MOUSE	 	 	sp|O08807|PRDX4_MOUSE, sp|P35700|PRDX1_MOUSE	 	73.4	199	22176	Peroxiredoxin-1 OS=Mus musculus OX=10090 GN=Prdx1 PE=1 SV=1	122	96	0.787	68	26	28	53	22	21	64.357	24.839	25.324
977	1	sp|P35762|CD81_MOUSE	 	 	 	 	18.2	236	25814	CD81 antigen OS=Mus musculus OX=10090 GN=Cd81 PE=1 SV=2	7	7	1.000	6	1	0	6	1	0	6.000	1.000	0.000
978	1	sp|P35802|GPM6A_MOUSE	 	 	sp|P35802|GPM6A_MOUSE, sp|P35803|GPM6B_MOUSE	 	6.8	278	31149	Neuronal membrane glycoprotein M6-a OS=Mus musculus OX=10090 GN=Gpm6a PE=1 SV=1	4	1	0.250	2	1	1	1	0	0	1.333	0.000	0.000
979	1	sp|P35803|GPM6B_MOUSE	 	 	sp|P35802|GPM6A_MOUSE, sp|P35803|GPM6B_MOUSE	 	8.5	328	36209	Neuronal membrane glycoprotein M6-b OS=Mus musculus OX=10090 GN=Gpm6b PE=1 SV=2	9	6	0.667	3	3	3	2	2	2	2.667	3.000	3.000
980	1	sp|P35821|PTN1_MOUSE	 	 	 	 	16.7	432	49593	Tyrosine-protein phosphatase non-receptor type 1 OS=Mus musculus OX=10090 GN=Ptpn1 PE=1 SV=2	7	7	1.000	3	3	1	3	3	1	3.000	3.000	1.000
981	1	sp|P35822|PTPRK_MOUSE	 	 	 	 	2.8	1457	164184	Receptor-type tyrosine-protein phosphatase kappa OS=Mus musculus OX=10090 GN=Ptprk PE=1 SV=1	4	4	1.000	3	0	1	3	0	1	3.000	0.000	1.000
982	1	sp|P35831|PTN12_MOUSE	 	 	 	 	13.3	775	86525	Tyrosine-protein phosphatase non-receptor type 12 OS=Mus musculus OX=10090 GN=Ptpn12 PE=1 SV=3	15	15	1.000	7	2	6	7	2	6	7.000	2.000	6.000
983	1	sp|P35846|FOLR1_MOUSE	 	 	 	 	37.3	255	29449	Folate receptor alpha OS=Mus musculus OX=10090 GN=Folr1 PE=1 SV=2	12	12	1.000	5	2	5	5	2	5	5.000	2.000	5.000
984	1	sp|P35922|FMR1_MOUSE	 	 	sp|P35922|FMR1_MOUSE, sp|Q61584|FXR1_MOUSE, sp|Q8BZQ7|ANC2_MOUSE, sp|Q9WVR4|FXR2_MOUSE	 	26.7	614	68988	Fragile X messenger ribonucleoprotein 1 OS=Mus musculus OX=10090 GN=Fmr1 PE=1 SV=1	45	39	0.867	18	16	11	14	14	11	15.179	15.264	11.000
985	1	sp|P35951|LDLR_MOUSE	 	 	 	 	6.3	862	94946	Low-density lipoprotein receptor OS=Mus musculus OX=10090 GN=Ldlr PE=1 SV=2	4	4	1.000	1	0	3	1	0	3	1.000	0.000	3.000
986	1	sp|P35979|RL12_MOUSE	 	 	 	 	67.9	165	17804	60S ribosomal protein L12 OS=Mus musculus OX=10090 GN=Rpl12 PE=1 SV=2	89	89	1.000	56	18	15	56	18	15	56.000	18.000	15.000
987	1	sp|P35980|RL18_MOUSE	 	 	 	 	36.2	188	21644	60S ribosomal protein L18 OS=Mus musculus OX=10090 GN=Rpl18 PE=1 SV=3	37	37	1.000	22	9	6	22	9	6	22.000	9.000	6.000
988	1	sp|P36536|SAR1A_MOUSE	 	 	sp|P36536|SAR1A_MOUSE, sp|Q9CQC9|SAR1B_MOUSE	 	49.0	198	22371	GTP-binding protein SAR1a OS=Mus musculus OX=10090 GN=Sar1a PE=1 SV=1	47	35	0.745	22	12	13	15	10	10	18.088	11.000	11.500
989	1	sp|P36552|HEM6_MOUSE	 	 	 	 	19.9	443	49714	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial OS=Mus musculus OX=10090 GN=Cpox PE=1 SV=2	11	11	1.000	2	7	2	2	7	2	2.000	7.000	2.000
990	1	sp|P36916|GNL1_MOUSE	 	 	 	 	32.3	607	68770	Guanine nucleotide-binding protein-like 1 OS=Mus musculus OX=10090 GN=Gnl1 PE=1 SV=4	47	47	1.000	19	14	14	19	14	14	19.000	14.000	14.000
991	1	sp|P36993|PPM1B_MOUSE	 	 	 	 	35.4	390	42795	Protein phosphatase 1B OS=Mus musculus OX=10090 GN=Ppm1b PE=1 SV=1	22	22	1.000	10	7	5	10	7	5	10.000	7.000	5.000
992	1	sp|P37040|NCPR_MOUSE	 	 	 	 	48.2	678	77043	NADPH--cytochrome P450 reductase OS=Mus musculus OX=10090 GN=Por PE=1 SV=2	66	66	1.000	30	20	16	30	20	16	30.000	20.000	16.000
993	1	sp|P37804|TAGL_MOUSE	 	 	sp|P37804|TAGL_MOUSE, sp|Q9R1Q8|TAGL3_MOUSE	 	42.8	201	22576	Transgelin OS=Mus musculus OX=10090 GN=Tagln PE=1 SV=3	16	13	0.812	1	13	2	0	12	1	0.000	12.632	1.333
994	1	sp|P37913|DNLI1_MOUSE	 	 	 	 	29.3	916	102288	DNA ligase 1 OS=Mus musculus OX=10090 GN=Lig1 PE=1 SV=2	38	38	1.000	13	10	15	13	10	15	13.000	10.000	15.000
995	1	sp|P38060|HMGCL_MOUSE	 	 	 	 	41.5	325	34239	Hydroxymethylglutaryl-CoA lyase, mitochondrial OS=Mus musculus OX=10090 GN=Hmgcl PE=1 SV=2	24	24	1.000	12	7	5	12	7	5	12.000	7.000	5.000
996	1	sp|P38647|GRP75_MOUSE	 	 	sp|P16627|HS71L_MOUSE, sp|P17156|HSP72_MOUSE, sp|P17879|HS71B_MOUSE, sp|P20029|BIP_MOUSE, sp|P38647|GRP75_MOUSE, sp|P63017|HSP7C_MOUSE	 	65.5	679	73460	Stress-70 protein, mitochondrial OS=Mus musculus OX=10090 GN=Hspa9 PE=1 SV=3	258	239	0.926	110	76	72	99	71	69	103.655	72.302	70.558
997	1	sp|P39038|CADH4_MOUSE	 	 	sp|P15116|CADH2_MOUSE, sp|P39038|CADH4_MOUSE	 	5.9	913	100029	Cadherin-4 OS=Mus musculus OX=10090 GN=Cdh4 PE=2 SV=1	12	7	0.583	3	4	5	1	3	3	1.036	3.083	3.115
998	1	sp|P39054|DYN2_MOUSE	 	 	sp|P39054|DYN2_MOUSE, sp|Q8BZ98|DYN3_MOUSE, sp|Q9WVP9|MX2_MOUSE	 	48.0	870	98144	Dynamin-2 OS=Mus musculus OX=10090 GN=Dnm2 PE=1 SV=2	104	71	0.683	46	30	28	30	23	18	41.982	29.440	26.494
999	1	sp|P39061|COIA1_MOUSE	 	 	 	 	12.3	1774	182169	Collagen alpha-1(XVIII) chain OS=Mus musculus OX=10090 GN=Col18a1 PE=1 SV=4	73	73	1.000	24	22	27	24	22	27	24.000	22.000	27.000
1000	1	sp|P39429|TRAF2_MOUSE	 	 	 	 	3.6	501	56026	TNF receptor-associated factor 2 OS=Mus musculus OX=10090 GN=Traf2 PE=1 SV=1	4	4	1.000	2	0	2	2	0	2	2.000	0.000	2.000
1001	1	sp|P39447|ZO1_MOUSE	 	 	sp|P39447|ZO1_MOUSE, sp|Q9Z0U1|ZO2_MOUSE	 	55.1	1745	194739	Tight junction protein ZO-1 OS=Mus musculus OX=10090 GN=Tjp1 PE=1 SV=2	313	308	0.984	120	92	101	119	90	99	119.875	91.782	100.817
1002	1	sp|P39654|LOX15_MOUSE	 	 	 	 	24.6	663	75444	Polyunsaturated fatty acid lipoxygenase ALOX15 OS=Mus musculus OX=10090 GN=Alox15 PE=1 SV=4	16	16	1.000	8	3	5	8	3	5	8.000	3.000	5.000
1003	1	sp|P39655|LOX12_MOUSE	 	 	 	 	17.3	663	75389	Polyunsaturated fatty acid lipoxygenase ALOX12 OS=Mus musculus OX=10090 GN=Alox12 PE=1 SV=4	12	12	1.000	9	2	1	9	2	1	9.000	2.000	1.000
1004	1	sp|P39749|FEN1_MOUSE	 	 	 	 	32.5	378	42314	Flap endonuclease 1 OS=Mus musculus OX=10090 GN=Fen1 PE=1 SV=1	19	19	1.000	8	7	4	8	7	4	8.000	7.000	4.000
1005	1	sp|P39876|TIMP3_MOUSE	 	 	 	 	18.0	211	24182	Metalloproteinase inhibitor 3 OS=Mus musculus OX=10090 GN=Timp3 PE=1 SV=1	5	5	1.000	3	2	0	3	2	0	3.000	2.000	0.000
1006	1	sp|P40124|CAP1_MOUSE	 	 	sp|P40124|CAP1_MOUSE, sp|Q9CYT6|CAP2_MOUSE	 	69.8	474	51564	Adenylyl cyclase-associated protein 1 OS=Mus musculus OX=10090 GN=Cap1 PE=1 SV=4	135	130	0.963	55	42	38	52	41	37	53.333	41.494	37.578
1007	1	sp|P40142|TKT_MOUSE	 	 	 	 	80.7	623	67630	Transketolase OS=Mus musculus OX=10090 GN=Tkt PE=1 SV=1	379	379	1.000	180	109	90	180	109	90	180.000	109.000	90.000
1008	1	sp|P40201|CHD1_MOUSE	 	 	sp|E9PZM4|CHD2_MOUSE, sp|P40201|CHD1_MOUSE	 	3.9	1711	196382	Chromodomain-helicase-DNA-binding protein 1 OS=Mus musculus OX=10090 GN=Chd1 PE=1 SV=3	7	3	0.429	2	3	2	0	2	1	0.000	2.667	2.000
1009	1	sp|P40336|VP26A_MOUSE	 	 	sp|P40336|VP26A_MOUSE, sp|Q8C0E2|VP26B_MOUSE	 	46.5	327	38113	Vacuolar protein sorting-associated protein 26A OS=Mus musculus OX=10090 GN=Vps26a PE=1 SV=1	27	22	0.815	14	8	5	13	6	3	13.542	6.750	3.667
1010	1	sp|P40338|VHL_MOUSE	 	 	 	 	28.2	181	20769	von Hippel-Lindau disease tumor suppressor OS=Mus musculus OX=10090 GN=Vhl PE=1 SV=1	4	4	1.000	2	2	0	2	2	0	2.000	2.000	0.000
1011	1	sp|P40630|TFAM_MOUSE	 	 	 	 	43.2	243	27987	Transcription factor A, mitochondrial OS=Mus musculus OX=10090 GN=Tfam PE=1 SV=2	26	26	1.000	13	9	4	13	9	4	13.000	9.000	4.000
1012	1	sp|P40694|SMBP2_MOUSE	 	 	 	 	8.6	993	109465	DNA-binding protein SMUBP-2 OS=Mus musculus OX=10090 GN=Ighmbp2 PE=1 SV=1	5	5	1.000	2	2	1	2	2	1	2.000	2.000	1.000
1013	1	sp|P41105|RL28_MOUSE	 	 	 	 	49.6	137	15733	60S ribosomal protein L28 OS=Mus musculus OX=10090 GN=Rpl28 PE=1 SV=2	98	98	1.000	31	31	36	31	31	36	31.000	31.000	36.000
1014	1	sp|P41216|ACSL1_MOUSE	 	 	 	 	14.3	699	77951	Long-chain-fatty-acid--CoA ligase 1 OS=Mus musculus OX=10090 GN=Acsl1 PE=1 SV=2	10	10	1.000	6	3	1	6	3	1	6.000	3.000	1.000
1015	1	sp|P41230|KDM5C_MOUSE	 	 	sp|P41230|KDM5C_MOUSE, sp|Q62240|KDM5D_MOUSE, sp|Q80Y84|KDM5B_MOUSE	 	5.9	1554	175311	Lysine-specific demethylase 5C OS=Mus musculus OX=10090 GN=Kdm5c PE=1 SV=4	8	5	0.625	2	6	0	2	3	0	2.000	5.000	0.000
1016	1	sp|P41241|CSK_MOUSE	 	 	 	 	45.1	450	50716	Tyrosine-protein kinase CSK OS=Mus musculus OX=10090 GN=Csk PE=1 SV=2	25	25	1.000	13	9	3	13	9	3	13.000	9.000	3.000
1017	1	sp|P42125|ECI1_MOUSE	 	 	 	 	50.5	289	32250	Enoyl-CoA delta isomerase 1, mitochondrial OS=Mus musculus OX=10090 GN=Eci1 PE=1 SV=2	48	48	1.000	20	12	16	20	12	16	20.000	12.000	16.000
1018	1	sp|P42128|FOXK1_MOUSE	 	 	 	 	17.8	719	74919	Forkhead box protein K1 OS=Mus musculus OX=10090 GN=Foxk1 PE=1 SV=2	10	10	1.000	6	3	1	6	3	1	6.000	3.000	1.000
1019	1	sp|P42208|SEPT2_MOUSE	 	 	sp|O55131|SEPT7_MOUSE, sp|P42208|SEPT2_MOUSE, sp|Q80UG5|SEPT9_MOUSE	 	69.3	361	41525	Septin-2 OS=Mus musculus OX=10090 GN=Septin2 PE=1 SV=2	90	82	0.911	45	25	20	40	23	19	42.608	23.951	19.442
